wine,link,pontuação,avaliações,volume
Partridge Reserva Cabernet Sauvignon 2017,https://wine.com.br/vinhos/partridge-reserva-cabernet-sauvignon-2017/prod22333.html,,(21),750.00 ml
Impetu Cabernet Sauvignon 2018,https://wine.com.br/vinhos/impetu-cabernet-sauvignon-2018/prod22243.html,,(10),750.00 ml
Partridge Reserva Edición Limitada Cabernet Sauvignon 2017,https://wine.com.br/vinhos/partridge-reserva-edicion-limitada-cabernet-sauvignon-2017/prod22223.html,,(51),750.00 ml
Partridge Reserva Pinot Noir 2017,https://wine.com.br/vinhos/partridge-reserva-pinot-noir-2017/prod22224.html,,(49),750.00 ml
Canepa Reserva Famiglia Carménère 2018,https://wine.com.br/vinhos/canepa-reserva-famiglia-carmenere-2018/prod22429.html,,(3),750.00 ml
Frei Brothers Reserve Cabernet Sauvignon 2016,https://wine.com.br/vinhos/frei-brothers-reserve-cabernet-sauvignon-2016/prod22571.html,,,750.00 ml
Experiencias diversas + taça grátis 2,https://wine.com.br/vinhos/experiencias-diversas-taca-gratis-2/prod22606.html,,,"
                                                                                                        "
Gauchezco Reserve Cabernet Franc 2017,https://wine.com.br/vinhos/gauchezco-reserve-cabernet-franc-2017/prod22469.html,,(6),750.00 ml
Cloudy Bay Sauvignon Blanc 2018,https://wine.com.br/vinhos/cloudy-bay-sauvignon-blanc-2018/prod22450.html,,,750.00 ml
Experiencias diversas + taça grátis 3,https://wine.com.br/vinhos/experiencias-diversas-taca-gratis-3/prod22608.html,,,"
                                                                                                        "
Blason del Valle Malbec/Syrah 2018,https://wine.com.br/vinhos/blason-del-valle-malbec-syrah-2018/prod22458.html,,,750.00 ml
Gauchezco Reserve Malbec 2017,https://wine.com.br/vinhos/gauchezco-reserve-malbec-2017/prod22468.html,,(7),750.00 ml
Cruz Andina Estate Collection Carmenere Organico 2018,https://wine.com.br/vinhos/cruz-andina-estate-collection-carmenere-organico-2018/prod22579.html,,(22),750.00 ml
Quinta de Pancas Grande Reserva 2015,https://wine.com.br/vinhos/quinta-de-pancas-grande-reserva-2015/prod22373.html,,,750.00 ml
Casa Perini Cabernet Sauvignon 2017,https://wine.com.br/vinhos/casa-perini-cabernet-sauvignon-2017/prod22337.html,,(1),750.00 ml
Pueblo Del Sol Roble Tannat 2017,https://wine.com.br/vinhos/pueblo-del-sol-roble-tannat-2017/prod22363.html,,(8),750.00 ml
Cellier des Dauphins Signature Cru A.O.C. Vinsobres 2017,https://wine.com.br/vinhos/cellier-des-dauphins-signature-cru-a-o-c-vinsobres-2017/prod22366.html,,(11),750.00 ml
Pancas Branco 2017,https://wine.com.br/vinhos/pancas-branco-2017/prod22370.html,,(4),750.00 ml
El Bautismo El Criollo Rosado 2018,https://wine.com.br/vinhos/el-bautismo-el-criollo-rosado-2018/prod22219.html,,(17),750.00 ml
Cremaschi Furlotti Edición Limitada Nebbiolo 2016,https://wine.com.br/vinhos/cremaschi-furlotti-edicion-limitada-nebbiolo-2016/prod22396.html,,(8),750.00 ml
Casa Perini Solidário Cabernet Sauvignon Merlot 2017,https://wine.com.br/vinhos/casa-perini-solidario-cabernet-sauvignon-merlot-2017/prod22338.html,,(1),750.00 ml
Porca De Murça D.O.C. 2016 375 ml,https://wine.com.br/vinhos/porca-de-murca-d-o-c-2016-375-ml/prod22340.html,,,375.00 ml
Magnum Veuve Clicquot Brut Rose,https://wine.com.br/vinhos/magnum-veuve-clicquot-brut-rose/prod22711.html,,,1500.00 ml
Champagne Veuve Clicquot Brut com New Ice Jacket,https://wine.com.br/vinhos/champagne-veuve-clicquot-brut-com-new-ice-jacket/prod22704.html,,,750.00 ml
Nato Carménère 2018,https://wine.com.br/vinhos/nato-carmenere-2018/prod22733.html,,(20),750.00 ml
Baron Philippe de Rothschild Sauvignon Blanc Chardonnay 2018,https://wine.com.br/vinhos/baron-philippe-de-rothschild-sauvignon-blanc-chardonnay-2018/prod22699.html,,(6),750.00 ml
Champagne Veuve Clicquot Brut com Gouache,https://wine.com.br/vinhos/champagne-veuve-clicquot-brut-com-gouache/prod22705.html,,,750.00 ml
Finca La Chamiza Legend of Polo Winemaker´s Selection Mendoza Malbec 2017,https://wine.com.br/vinhos/finca-la-chamiza-legend-of-polo-winemaker-s-selection-mendoza-malbec-2017/prod22459.html,,(2),750.00 ml
Champagne Ruinart Rosé 1500 ml,https://wine.com.br/vinhos/champagne-ruinart-rose-1500-ml/prod22692.html,,,1.50 L
Espumantes + taça grátis,https://wine.com.br/vinhos/espumantes-taca-gratis/prod22609.html,,,"
                                      "
Beryna D.O.P. Alicante Monastrell Garnacha 2016,https://wine.com.br/vinhos/beryna-d-o-p-alicante-monastrell-garnacha-2016/prod22562.html,,(42),750.00 ml
Canepa Magnificum D.O. Valle del Maipo Cabernet Sauvignon 2016,https://wine.com.br/vinhos/canepa-magnificum-d-o-valle-del-maipo-cabernet-sauvignon-2016/prod22598.html,,(1),750.00 ml
Terrazas de los Andes Reserva Torrontés 2017,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-torrontes-2017/prod22451.html,,,750.00 ml
Altos del Plata Cabernet Sauvignon 2017,https://wine.com.br/vinhos/altos-del-plata-cabernet-sauvignon-2017/prod22449.html,,,750.00 ml
Experiencias diversas + taça grátis,https://wine.com.br/vinhos/experiencias-diversas-taca-gratis/prod22605.html,,,"
                                      "
Tragolargo D.O.P. Alicante Monastrell 2017,https://wine.com.br/vinhos/tragolargo-d-o-p-alicante-monastrell-2017/prod22563.html,,(38),750.00 ml
Carpineto D.O.C. Rosso di Montepulciano 2016,https://wine.com.br/vinhos/carpineto-d-o-c-rosso-di-montepulciano-2016/prod22474.html,,(3),750.00 ml
Marianne Cape of Good Hope Sauvignon Blanc 2018,https://wine.com.br/vinhos/marianne-cape-of-good-hope-sauvignon-blanc-2018/prod22569.html,,(8),750.00 ml
Marianne Cape of Good Hope Pinotage 2016,https://wine.com.br/vinhos/marianne-cape-of-good-hope-pinotage-2016/prod22570.html,,(8),750.00 ml
Cruz Andina Estate Collection Merlot Organico 2018,https://wine.com.br/vinhos/cruz-andina-estate-collection-merlot-organico-2018/prod22578.html,,(30),750.00 ml
Fleur Du Cap Series Privée Cabernet Sauvignon 2016,https://wine.com.br/vinhos/fleur-du-cap-series-privee-cabernet-sauvignon-2016/prod22277.html,,,750.00 ml
Mixtus Merlot Malbec 2018,https://wine.com.br/vinhos/mixtus-merlot-malbec-2018/prod22241.html,,(1),750.00 ml
Gran Tarapacá Reserva Carménère 2017,https://wine.com.br/vinhos/gran-tarapaca-reserva-carmenere-2017/prod22312.html,,,750.00 ml
Tarapacá Gran Reserva Pinot Noir 2017,https://wine.com.br/vinhos/tarapaca-gran-reserva-pinot-noir-2017/prod22317.html,,,750.00 ml
Miolo Reserva Merlot  2017 375 ml,https://wine.com.br/vinhos/miolo-reserva-merlot-2017-375-ml/prod22303.html,,,750.00 ml
El Bautismo Blend de Blancas Dulces 2018,https://wine.com.br/vinhos/el-bautismo-blend-de-blancas-dulces-2018/prod22217.html,,(24),750.00 ml
Espumante Casa Valduga Gran Nature 2013,https://wine.com.br/vinhos/espumante-casa-valduga-gran-nature-2013/prod22323.html,,,750.00 ml
Porca de Murça D.O.C. Douro Branco 2017,https://wine.com.br/vinhos/porca-de-murca-d-o-c-douro-branco-2017/prod22285.html,,,750.00 ml
Espumante Casa Valduga RSV Brut 2016,https://wine.com.br/vinhos/espumante-casa-valduga-rsv-brut-2016/prod22324.html,,,750.00 ml
Domaine de L'Ostal Cazes Estibals A.O.C. Minervois 2014,https://wine.com.br/vinhos/domaine-de-l-ostal-cazes-estibals-a-o-c-minervois-2014/prod22226.html,,(45),750.00 ml
Mixtus Cabernet Merlot 2018,https://wine.com.br/vinhos/mixtus-cabernet-merlot-2018/prod22240.html,,(3),750.00 ml
Impetu Sauvignon Blanc 2018,https://wine.com.br/vinhos/impetu-sauvignon-blanc-2018/prod22245.html,,(15),750.00 ml
Altos del Condor Blanco 2018,https://wine.com.br/vinhos/altos-del-condor-blanco-2018/prod22221.html,,,750.00 ml
Mixtus Syrah Malbec 2018,https://wine.com.br/vinhos/mixtus-syrah-malbec-2018/prod22242.html,,(4),750.00 ml
Lidio Carraro Dádivas Tempranillo 2018,https://wine.com.br/vinhos/lidio-carraro-dadivas-tempranillo-2018/prod22302.html,,(3),750.00 ml
